Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2016/17

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;Samtliga;301;70,4;80,7;209,6;127;42,2;81,1;89,0;242,6;174;57,8;62,6;74,7;185,8;
Ale;Kommunal;278;68,7;79,1;207,8;112;40,3;79,5;87,5;242,6;166;59,7;61,4;73,5;184,5;
Ale;Enskild;23;91,3;100,0;231,7;..;..;93,3;100,0;243,0;..;..;..;..;..;
Alingsås;Samtliga;467;78,4;86,5;228,6;211;45,2;82,9;90,0;244,5;256;54,8;74,6;83,6;215,3;
Alingsås;Kommunal;359;75,2;82,7;221,7;155;43,2;80,0;86,5;236,2;204;56,8;71,6;79,9;210,6;
Alingsås;Enskild;108;88,9;~100;251,2;56;51,9;91,1;100,0;267,6;52;48,1;86,5;~100;233,5;
Alvesta;Samtliga;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Alvesta;Kommunal;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Aneby;Samtliga;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Aneby;Kommunal;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Arboga;Samtliga;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arboga;Kommunal;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arjeplog;Samtliga;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arjeplog;Kommunal;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arvidsjaur;Samtliga;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvidsjaur;Kommunal;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvika;Samtliga;278;72,3;82,0;210,8;125;45,0;80,0;88,8;237,9;153;55,0;66,0;76,5;188,3;
Arvika;Kommunal;246;68,7;79,7;205,3;100;40,7;75,0;86,0;233,0;146;59,3;64,4;75,3;186,1;
Arvika;Enskild;32;100,0;100,0;252,0;..;..;100,0;100,0;257,1;..;..;..;..;..;
Askersund;Samtliga;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Askersund;Kommunal;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Avesta;Samtliga;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Avesta;Kommunal;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Bengtsfors;Samtliga;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Bengtsfors;Kommunal;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Berg;Samtliga;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Berg;Kommunal;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Bjurholm;Samtliga;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjurholm;Kommunal;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjuv;Samtliga;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Bjuv;Kommunal;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Boden;Samtliga;314;74,5;79,9;209,6;140;44,6;79,3;83,6;231,2;174;55,4;70,7;77,0;192,6;
Boden;Kommunal;242;70,2;75,6;200,8;103;42,6;77,7;80,6;228,9;139;57,4;64,7;71,9;180,3;
Boden;Enskild;72;88,9;~100;239,2;37;51,4;83,8;~100;237,8;35;48,6;94,3;~100;240,5;
Bollebygd;Samtliga;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollebygd;Kommunal;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollnäs;Samtliga;295;70,5;76,3;202,8;130;44,1;75,4;81,5;222,6;165;55,9;66,7;72,1;186,9;
Bollnäs;Kommunal;145;49,0;58,6;172,0;58;40,0;53,4;65,5;184,5;87;60,0;46,0;54,0;163,6;
Bollnäs;Enskild;150;91,3;93,3;231,5;72;48,0;93,1;~100;252,3;78;52,0;89,7;92,3;212,0;
Borgholm;Samtliga;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borgholm;Kommunal;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borlänge;Samtliga;647;62,9;75,6;203,6;333;51,5;66,7;76,6;218,2;314;48,5;58,9;74,5;188,1;
Borlänge;Kommunal;565;61,2;74,0;199,5;281;49,7;64,8;74,7;213,5;284;50,3;57,7;73,2;185,6;
Borlänge;Enskild;82;74,4;86,6;232,2;52;63,4;76,9;86,5;243,9;30;36,6;70,0;~100;212,0;
Borås;Samtliga;1 216;73,5;81,9;222,3;572;47,0;76,6;84,1;235,0;644;53,0;70,8;80,0;210,9;
Borås;Kommunal;991;69,5;78,5;212,8;457;46,1;72,9;80,7;225,0;534;53,9;66,7;76,6;202,2;
Borås;Enskild;225;91,1;96,9;263,7;115;51,1;91,3;~100;274,5;110;48,9;90,9;~100;252,4;
Botkyrka;Samtliga;941;69,7;81,5;220,4;421;44,7;72,7;84,3;234,2;520;55,3;67,3;79,2;209,3;
Botkyrka;Kommunal;801;68,2;81,0;217,8;350;43,7;70,6;83,7;232,3;451;56,3;66,3;78,9;206,6;
Botkyrka;Enskild;140;78,6;84,3;235,0;71;50,7;83,1;87,3;243,4;69;49,3;73,9;81,2;226,6;
Boxholm;Samtliga;66;66,7;78,8;201,1;34;51,5;73,5;85,3;229,6;32;48,5;59,4;71,9;169,9;
Boxholm;Kommunal;66;66,7;78,8;201,1;34;51,5;73,5;85,3;229,6;32;48,5;59,4;71,9;169,9;
Bromölla;Samtliga;126;61,1;74,6;191,6;60;47,6;78,3;85,0;232,1;66;52,4;45,5;65,2;156,0;
Bromölla;Kommunal;126;61,1;74,6;191,6;60;47,6;78,3;85,0;232,1;66;52,4;45,5;65,2;156,0;
Bräcke;Samtliga;98;58,2;65,3;173,2;33;33,7;81,8;81,8;217,4;65;66,3;46,2;56,9;150,4;
Bräcke;Kommunal;98;58,2;65,3;173,2;33;33,7;81,8;81,8;217,4;65;66,3;46,2;56,9;150,4;
Burlöv;Samtliga;180;66,1;78,9;213,7;82;45,6;76,8;89,0;234,5;98;54,4;57,1;70,4;195,4;
Burlöv;Kommunal;180;66,1;78,9;213,7;82;45,6;76,8;89,0;234,5;98;54,4;57,1;70,4;195,4;
Båstad;Samtliga;128;75,8;87,5;223,6;66;51,6;74,2;87,9;236,2;62;48,4;77,4;87,1;210,3;
Båstad;Kommunal;128;75,8;87,5;223,6;66;51,6;74,2;87,9;236,2;62;48,4;77,4;87,1;210,3;
Dals-Ed;Samtliga;50;62,0;78,0;204,9;18;36,0;88,9;100,0;277,2;32;64,0;46,9;65,6;164,1;
Dals-Ed;Kommunal;50;62,0;78,0;204,9;18;36,0;88,9;100,0;277,2;32;64,0;46,9;65,6;164,1;
Danderyd;Samtliga;517;92,8;96,1;269,8;218;42,2;95,9;~100;283,7;299;57,8;90,6;94,3;259,6;
Danderyd;Kommunal;336;92,6;94,3;266,6;133;39,6;96,2;~100;281,3;203;60,4;90,1;92,1;257,0;
Danderyd;Enskild;181;93,4;~100;275,6;85;47,0;95,3;100,0;287,5;96;53,0;91,7;~100;265,0;
Degerfors;Samtliga;94;66,0;86,2;208,3;43;45,7;90,7;~100;239,2;51;54,3;45,1;80,4;182,3;
Degerfors;Kommunal;94;66,0;86,2;208,3;43;45,7;90,7;~100;239,2;51;54,3;45,1;80,4;182,3;
Dorotea;Samtliga;29;93,1;~100;220,1;18;62,1;94,4;~100;232,6;11;37,9;90,9;~100;200,7;
Dorotea;Kommunal;29;93,1;~100;220,1;18;62,1;94,4;~100;232,6;11;37,9;90,9;~100;200,7;
Eda;Samtliga;80;81,3;90,0;228,9;41;51,3;73,2;87,8;243,0;39;48,8;89,7;~100;213,3;
Eda;Kommunal;80;81,3;90,0;228,9;41;51,3;73,2;87,8;243,0;39;48,8;89,7;~100;213,3;
Ekerö;Samtliga;343;88,6;92,1;248,2;171;49,9;89,5;92,4;256,5;172;50,1;87,8;91,9;240,0;
Ekerö;Kommunal;311;87,8;91,3;245,0;156;50,2;88,5;91,7;254,1;155;49,8;87,1;91,0;235,8;
Ekerö;Enskild;32;96,9;100,0;279,1;15;46,9;100,0;100,0;281,2;17;53,1;94,1;100,0;277,4;
Eksjö;Samtliga;226;74,8;78,8;229,2;111;49,1;79,3;81,1;249,9;115;50,9;70,4;76,5;209,8;
Eksjö;Kommunal;213;78,9;82,2;233,9;105;49,3;83,8;85,7;251,6;108;50,7;74,1;78,7;216,5;
Eksjö;Enskild;13;..;..;..;..;..;.;.;..;..;..;..;..;..;
Emmaboda;Samtliga;89;56,2;65,2;180,1;34;38,2;76,5;82,4;224,7;55;61,8;43,6;54,5;152,0;
Emmaboda;Kommunal;89;56,2;65,2;180,1;34;38,2;76,5;82,4;224,7;55;61,8;43,6;54,5;152,0;
Enköping;Samtliga;519;73,8;84,0;222,4;242;46,6;79,8;88,0;238,3;277;53,4;68,6;80,5;208,4;
Enköping;Kommunal;385;70,1;80,8;214,6;169;43,9;75,7;85,2;228,4;216;56,1;65,7;77,3;203,5;
Enköping;Enskild;134;84,3;93,3;244,8;73;54,5;89,0;~100;261,0;61;45,5;78,7;91,8;225,3;
Eskilstuna;Samtliga;1 269;70,8;79,4;218,8;594;46,8;75,1;82,2;233,1;675;53,2;67,1;77,0;206,0;
Eskilstuna;Kommunal;966;65,1;74,1;205,8;428;44,3;69,9;76,9;219,9;538;55,7;61,3;71,9;194,3;
Eskilstuna;Enskild;303;89,1;96,4;259,7;166;54,8;88,6;95,8;267,0;137;45,2;89,8;~100;250,9;
Eslöv;Samtliga;372;75,3;83,9;216,8;179;48,1;79,9;87,2;234,0;193;51,9;71,0;80,8;200,7;
Eslöv;Kommunal;372;75,3;83,9;216,8;179;48,1;79,9;87,2;234,0;193;51,9;71,0;80,8;200,7;
Essunga;Samtliga;59;76,3;86,4;219,3;28;47,5;89,3;~100;242,3;31;52,5;64,5;80,6;199,2;
Essunga;Kommunal;59;76,3;86,4;219,3;28;47,5;89,3;~100;242,3;31;52,5;64,5;80,6;199,2;
Fagersta;Samtliga;163;55,2;67,5;162,9;66;40,5;59,1;71,2;183,7;97;59,5;52,6;64,9;148,6;
Fagersta;Kommunal;140;55,0;67,9;160,5;53;37,9;62,3;75,5;189,4;87;62,1;50,6;63,2;142,4;
Fagersta;Enskild;23;56,5;65,2;177,5;13;56,5;..;..;159,0;10;43,5;..;..;199,8;
Falkenberg;Samtliga;493;68,4;79,9;216,1;248;50,3;73,4;84,3;235,4;245;49,7;63,3;75,5;196,8;
Falkenberg;Kommunal;432;64,8;77,1;210,8;213;49,3;70,0;81,7;231,9;219;50,7;59,8;72,6;190,6;
Falkenberg;Enskild;61;93,4;100,0;253,0;35;57,4;94,3;100,0;256,1;26;42,6;92,3;100,0;248,8;
Falköping;Samtliga;383;65,8;76,2;206,5;175;45,7;78,3;86,3;234,5;208;54,3;55,3;67,8;182,3;
Falköping;Kommunal;362;67,4;76,8;208,6;167;46,1;79,6;86,2;236,0;195;53,9;56,9;68,7;184,3;
Falköping;Enskild;21;..;66,7;171,8;..;..;..;..;..;..;..;..;..;152,3;
Falun;Samtliga;600;76,8;84,3;225,9;266;44,3;78,2;85,3;241,4;334;55,7;75,7;83,5;213,5;
Falun;Kommunal;458;73,8;81,2;216,8;196;42,8;76,5;83,2;232,4;262;57,2;71,8;79,8;205,0;
Falun;Enskild;142;86,6;94,4;254,9;70;49,3;82,9;91,4;266,3;72;50,7;90,3;~100;243,8;
Filipstad;Samtliga;116;77,6;86,2;231,0;58;50,0;81,0;87,9;239,2;58;50,0;74,1;84,5;223,0;
Filipstad;Kommunal;116;77,6;86,2;231,0;58;50,0;81,0;87,9;239,2;58;50,0;74,1;84,5;223,0;
Finspång;Samtliga;217;60,4;71,9;203,7;113;52,1;68,1;77,0;223,6;104;47,9;51,9;66,3;180,9;
Finspång;Kommunal;217;60,4;71,9;203,7;113;52,1;68,1;77,0;223,6;104;47,9;51,9;66,3;180,9;
Flen;Samtliga;194;58,2;73,7;196,7;89;45,9;64,0;77,5;208,8;105;54,1;53,3;70,5;185,4;
Flen;Kommunal;160;55,6;72,5;192,4;78;48,8;62,8;76,9;203,9;82;51,3;48,8;68,3;180,2;
Flen;Enskild;34;70,6;79,4;216,7;11;32,4;..;..;242,7;23;67,6;69,6;78,3;203,1;
Forshaga;Samtliga;107;64,5;74,8;191,6;37;34,6;75,7;83,8;215,3;70;65,4;58,6;70,0;179,1;
Forshaga;Kommunal;107;64,5;74,8;191,6;37;34,6;75,7;83,8;215,3;70;65,4;58,6;70,0;179,1;
Färgelanda;Samtliga;77;71,4;80,5;197,5;38;49,4;81,6;81,6;226,4;39;50,6;61,5;79,5;170,1;
Färgelanda;Kommunal;77;71,4;80,5;197,5;38;49,4;81,6;81,6;226,4;39;50,6;61,5;79,5;170,1;
Gagnef;Samtliga;120;79,2;85,8;216,6;49;40,8;79,6;87,8;225,4;71;59,2;78,9;84,5;210,6;
Gagnef;Kommunal;120;79,2;85,8;216,6;49;40,8;79,6;87,8;225,4;71;59,2;78,9;84,5;210,6;
Gislaved;Samtliga;364;70,3;78,6;209,1;168;46,2;79,2;85,1;230,8;196;53,8;62,8;73,0;190,4;
Gislaved;Kommunal;355;71,0;78,9;210,3;165;46,5;79,4;85,5;232,3;190;53,5;63,7;73,2;191,1;
Gislaved;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Gnesta;Samtliga;115;78,3;88,7;218,9;58;50,4;87,9;~100;253,2;57;49,6;68,4;80,7;183,3;
Gnesta;Kommunal;95;76,8;88,4;214,3;43;45,3;88,4;~100;251,5;52;54,7;67,3;80,8;182,9;
Gnesta;Enskild;20;85,0;~100;240,5;..;..;86,7;~100;258,2;..;..;..;..;..;
Gnosjö;Samtliga;117;61,5;66,7;188,8;52;44,4;71,2;76,9;210,3;65;55,6;53,8;58,5;170,8;
Gnosjö;Kommunal;117;61,5;66,7;188,8;52;44,4;71,2;76,9;210,3;65;55,6;53,8;58,5;170,8;
Gotland;Samtliga;592;76,7;82,8;217,8;270;45,6;83,0;87,4;236,2;322;54,4;71,4;78,9;202,2;
Gotland;Kommunal;498;74,5;80,5;213,7;223;44,8;81,6;86,1;233,6;275;55,2;68,7;76,0;197,5;
Gotland;Enskild;94;88,3;94,7;238,9;47;50,0;89,4;~100;248,5;47;50,0;87,2;~100;229,4;
Grums;Samtliga;84;59,5;72,6;195,9;32;38,1;56,3;71,9;195,1;52;61,9;61,5;73,1;196,4;
Grums;Kommunal;84;59,5;72,6;195,9;32;38,1;56,3;71,9;195,1;52;61,9;61,5;73,1;196,4;
Grästorp;Samtliga;84;77,4;79,8;224,9;46;54,8;80,4;80,4;247,4;38;45,2;73,7;78,9;198,9;
Grästorp;Kommunal;84;77,4;79,8;224,9;46;54,8;80,4;80,4;247,4;38;45,2;73,7;78,9;198,9;
Gullspång;Samtliga;66;56,1;66,7;178,5;35;53,0;62,9;74,3;200,2;31;47,0;48,4;58,1;154,6;
Gullspång;Kommunal;66;56,1;66,7;178,5;35;53,0;62,9;74,3;200,2;31;47,0;48,4;58,1;154,6;
Gällivare;Samtliga;149;74,5;83,2;217,2;70;47,0;77,1;84,3;241,6;79;53,0;72,2;82,3;195,9;
Gällivare;Kommunal;129;70,5;80,6;209,9;60;46,5;73,3;81,7;237,7;69;53,5;68,1;79,7;186,2;
Gällivare;Enskild;20;100,0;100,0;263,9;10;50,0;100,0;100,0;264,5;10;50,0;100,0;100,0;263,3;
Gävle;Samtliga;1 156;71,5;84,0;217,6;561;48,5;75,6;86,5;233,1;595;51,5;67,7;81,7;202,8;
Gävle;Kommunal;734;67,3;78,7;206,1;368;50,1;72,3;82,9;221,5;366;49,9;62,3;74,6;190,3;
Gävle;Enskild;422;78,9;93,1;237,5;193;45,7;81,9;93,3;255,3;229;54,3;76,4;93,0;222,5;
Göteborg;Samtliga;5 376;68,2;77,7;218,3;2 537;47,2;73,4;81,7;235,0;2 839;52,8;63,6;74,2;203,3;
Göteborg;Kommunal;3 540;62,3;71,6;205,3;1 592;45,0;68,4;76,3;222,5;1 948;55,0;57,2;67,9;191,0;
Göteborg;Enskild;1 836;79,9;89,7;243,3;945;51,5;81,9;90,9;256,1;891;48,5;77,8;88,4;229,8;
Götene;Samtliga;154;64,9;70,8;192,7;75;48,7;76,0;82,7;222,4;79;51,3;54,4;59,5;165,0;
Götene;Kommunal;154;64,9;70,8;192,7;75;48,7;76,0;82,7;222,4;79;51,3;54,4;59,5;165,0;
Habo;Samtliga;118;77,1;85,6;225,6;60;50,8;81,7;86,7;248,4;58;49,2;72,4;84,5;201,9;
Habo;Kommunal;118;77,1;85,6;225,6;60;50,8;81,7;86,7;248,4;58;49,2;72,4;84,5;201,9;
Hagfors;Samtliga;129;58,1;64,3;183,3;62;48,1;62,9;71,0;200,5;67;51,9;53,7;58,2;167,2;
Hagfors;Kommunal;129;58,1;64,3;183,3;62;48,1;62,9;71,0;200,5;67;51,9;53,7;58,2;167,2;
Hallsberg;Samtliga;140;72,9;79,3;202,7;60;42,9;78,3;85,0;221,6;80;57,1;68,8;75,0;188,3;
Hallsberg;Kommunal;140;72,9;79,3;202,7;60;42,9;78,3;85,0;221,6;80;57,1;68,8;75,0;188,3;
Hallstahammar;Samtliga;174;60,3;70,1;198,5;77;44,3;68,8;81,8;228,0;97;55,7;53,6;60,8;174,7;
Hallstahammar;Kommunal;174;60,3;70,1;198,5;77;44,3;68,8;81,8;228,0;97;55,7;53,6;60,8;174,7;
Halmstad;Samtliga;958;75,2;84,2;219,9;436;45,5;79,4;86,9;237,7;522;54,5;71,6;82,0;204,8;
Halmstad;Kommunal;809;72,8;82,2;213,2;367;45,4;77,4;85,0;231,2;442;54,6;69,0;79,9;198,0;
Halmstad;Enskild;149;87,9;95,3;256,0;69;46,3;89,9;~100;272,4;80;53,7;86,3;93,8;241,9;
Hammarö;Samtliga;212;81,6;87,3;233,5;93;43,9;93,5;~100;265,9;119;56,1;72,3;79,8;207,6;
Hammarö;Kommunal;212;81,6;87,3;233,5;93;43,9;93,5;~100;265,9;119;56,1;72,3;79,8;207,6;
Haninge;Samtliga;769;74,0;86,2;220,4;352;45,8;77,6;88,4;236,1;417;54,2;71,0;84,4;207,2;
Haninge;Kommunal;605;71,1;84,8;216,0;285;47,1;75,8;87,4;234,3;320;52,9;66,9;82,5;199,8;
Haninge;Enskild;164;84,8;91,5;236,7;67;40,9;85,1;92,5;243,5;97;59,1;84,5;90,7;231,9;
Haparanda;Samtliga;124;57,3;66,9;184,8;54;43,5;64,8;75,9;211,9;70;56,5;51,4;60,0;163,9;
Haparanda;Kommunal;124;57,3;66,9;184,8;54;43,5;64,8;75,9;211,9;70;56,5;51,4;60,0;163,9;
Heby;Samtliga;167;68,3;82,0;204,7;72;43,1;70,8;83,3;219,0;95;56,9;66,3;81,1;193,9;
Heby;Kommunal;167;68,3;82,0;204,7;72;43,1;70,8;83,3;219,0;95;56,9;66,3;81,1;193,9;
Hedemora;Samtliga;195;71,3;80,5;203,7;102;52,3;80,4;85,3;225,9;93;47,7;61,3;75,3;179,5;
Hedemora;Kommunal;148;69,6;79,1;197,5;76;51,4;80,3;82,9;220,1;72;48,6;58,3;75,0;174,3;
Hedemora;Enskild;47;76,6;85,1;223,3;26;55,3;80,8;~100;242,3;21;44,7;71,4;76,2;198,5;
Helsingborg;Samtliga;1 576;76,9;85,5;234,1;758;48,1;79,9;89,4;251,2;818;51,9;74,1;81,9;218,3;
Helsingborg;Kommunal;1 025;73,7;82,7;227,5;476;46,4;78,0;87,0;248,7;549;53,6;70,0;78,9;209,1;
Helsingborg;Enskild;551;82,6;90,6;245,9;282;51,2;83,0;93,3;255,3;269;48,8;82,2;87,7;236,1;
Herrljunga;Samtliga;104;77,9;84,6;215,1;44;42,3;75,0;86,4;230,0;60;57,7;80,0;83,3;204,1;
Herrljunga;Kommunal;104;77,9;84,6;215,1;44;42,3;75,0;86,4;230,0;60;57,7;80,0;83,3;204,1;
Hjo;Samtliga;95;84,2;89,5;228,5;45;47,4;84,4;~100;232,3;50;52,6;84,0;88,0;225,2;
Hjo;Kommunal;95;84,2;89,5;228,5;45;47,4;84,4;~100;232,3;50;52,6;84,0;88,0;225,2;
Hofors;Samtliga;89;76,4;82,0;218,8;35;39,3;85,7;~100;228,1;54;60,7;70,4;77,8;212,7;
Hofors;Kommunal;89;76,4;82,0;218,8;35;39,3;85,7;~100;228,1;54;60,7;70,4;77,8;212,7;
Huddinge;Samtliga;1 257;81,4;87,4;237,7;534;42,5;84,8;91,6;255,3;723;57,5;78,8;84,2;224,5;
Huddinge;Kommunal;978;79,4;84,5;228,8;403;41,2;83,4;89,3;247,8;575;58,8;76,7;81,0;215,3;
Huddinge;Enskild;279;88,2;97,5;268,6;131;47,0;89,3;~100;278,3;148;53,0;87,2;96,6;260,0;
Hudiksvall;Samtliga;409;67,2;77,5;206,5;179;43,8;72,6;79,9;221,1;230;56,2;63,0;75,7;195,4;
Hudiksvall;Kommunal;332;66,0;74,7;206,5;149;44,9;72,5;78,5;222,0;183;55,1;60,7;71,6;194,1;
Hudiksvall;Enskild;77;72,7;89,6;206,6;30;39,0;73,3;~100;216,3;47;61,0;72,3;~100;200,7;
Hultsfred;Samtliga;125;60,0;68,8;189,4;56;44,8;67,9;75,0;224,0;69;55,2;53,6;63,8;161,9;
